-1.97072054 2.62962846 -1.20715778
2.36818456 0.92140609 -8.46973480
0.92769477 -8.12342572 3.33222292
5.25724815 -2.12234163 2.97624467
-25.94716691 -13.20638386 -21.22122051
19.86469565 12.98660403 -2.54514083
-6.79494079 -0.51418904 -3.01314862
-11.48425515 -6.87961853 -10.79533691
-5.98510222 -2.28342891 4.07996578
-10.96502095 22.00317606 4.60856646
-1.88151968 2.91467942 1.04111910
-16.83095595 7.29710956 6.93413602
1.22785377 -1.23219344 0.27545076
20.96737872 -14.13142965 -11.27219797
-10.30009358 -4.89639373 -3.12657839
26.37603134 -1.99273605 22.03206354
5.88622978 -0.27974405 1.91153548
0.62193293 17.31765666 -12.54430489
-0.34858563 9.31979602 4.06293671
3.18135141 10.66493837 0.47334274
5.18404524 8.91440166 -16.27662201
18.98277760 -6.59106440 -14.78323824
4.65446595 2.24866719 3.27988454
28.77002897 -0.87949163 13.68627014
26.94198476 -2.17273488 -17.76745169
-14.40665928 -15.88668088 -5.59002484
